code,ticker,name
1301,1301.T,"Kyokuyo Co., Ltd."
1332,1332.T,Nissui Corporation
1333,1333.T,Maruha Nichiro Corporation
1375,1375.T,"Yukiguni Factory Co., Ltd."
1377,1377.T,Sakata Seed Corporation
1379,1379.T,Hokuto Corporation
1414,1414.T,"SHO-BOND Holdings Co.,Ltd."
1417,1417.T,MIRAIT ONE Corporation
1419,1419.T,"Tama Home Co., Ltd."
1429,1429.T,"Nippon Aqua Co., Ltd."
1433,1433.T,"Besterra Co., Ltd."
1515,1515.T,"Nittetsu Mining Co., Ltd."
1518,1518.T,"Mitsui Matsushima Holdings Co., Ltd."
1605,1605.T,Inpex Corporation
1662,1662.T,"Japan Petroleum Exploration Co., Ltd."
1663,1663.T,K&O Energy Group Inc.
0167,0167.T,
1719,1719.T,Hazama Ando Corporation
1720,1720.T,"Tokyu Construction Co., Ltd."
1721,1721.T,COMSYS Holdings Corporation
1726,1726.T,Br. Holdings Corporation
1762,1762.T,"Takamatsu Construction Group Co., Ltd."
1766,1766.T,Token Corporation
1773,1773.T,YTL Corporation Berhad
1780,1780.T,Yamaura Corporation
1786,1786.T,Oriental Shiraishi Corporation
1801,1801.T,Taisei Corporation
1802,1802.T,Obayashi Corporation
1803,1803.T,Shimizu Corporation
1808,1808.T,HASEKO Corporation
1812,1812.T,Kajima Corporation
1813,1813.T,Fudo Tetra Corporation
1814,1814.T,"Daisue Construction Co., Ltd."
1815,1815.T,Tekken Corporation
1820,1820.T,"Nishimatsu Construction Co., Ltd."
1821,1821.T,"Sumitomo Mitsui Construction Co.,Ltd."
1833,1833.T,Okumura Corporation
1835,1835.T,"Totetsu Kogyo Co., Ltd."
1852,1852.T,Asanuma Corporation
1860,1860.T,Toda Corporation
1861,1861.T,"Kumagai Gumi Co.,Ltd."
1870,1870.T,"Yahagi Construction Co.,Ltd."
1871,1871.T,"PS Construction Co., Ltd."
1873,1873.T,"Nihon House Holdings Co., Ltd."
1878,1878.T,"Daito Trust Construction Co.,Ltd."
1879,1879.T,Shinnihon Corporation
1882,1882.T,Toa Road Corporation
1884,1884.T,"The Nippon Road Co., Ltd."
1885,1885.T,TOA Corporation
1887,1887.T,JDC Corporation
1888,1888.T,"Wakachiku Construction Co., Ltd."
1890,1890.T,"Toyo Construction Co., Ltd."
1893,1893.T,"Penta-Ocean Construction Co., Ltd."
1898,1898.T,"Seikitokyu Kogyo Co., Ltd."
1899,1899.T,Fukuda Corporation
1911,1911.T,"Sumitomo Forestry Co., Ltd."
1925,1925.T,"Daiwa House Industry Co., Ltd."
1926,1926.T,"Raito Kogyo Co., Ltd."
1928,1928.T,"Sekisui House, Ltd."
1929,1929.T,"Nittoc Construction Co., Ltd."
1930,1930.T,"Hokuriku Electrical Construction Co.,Ltd."
1934,1934.T,Yurtec Corporation
1938,1938.T,"Nippon Rietec Co.,Ltd."
1939,1939.T,Yondenko Corporation
1941,1941.T,Chudenko Corporation
1942,1942.T,"Kandenko Co.,Ltd."
1944,1944.T,Kinden Corporation
1945,1945.T,Tokyo Energy & Systems Inc.
1946,1946.T,Toenec Corporation
1949,1949.T,"Sumitomo Densetsu Co.,Ltd."
1950,1950.T,"Nippon Densetsu Kogyo Co., Ltd."
1951,1951.T,"EXEO Group, Inc."
1952,1952.T,"Shin Nippon Air Technologies Co., Ltd."
1959,1959.T,Kyudenko Corporation
1961,1961.T,"Sanki Engineering Co., Ltd."
1963,1963.T,JGC Holdings Corporation
1964,1964.T,"Chugai Ro Co., Ltd."
1968,1968.T,"Taihei Dengyo Kaisha, Ltd."
1969,1969.T,"Takasago Thermal Engineering Co., Ltd."
1975,1975.T,"Asahi Kogyosha Co., Ltd."
1976,1976.T,"MEISEI INDUSTRIAL Co.,Ltd."
1979,1979.T,Taikisha Ltd.
1980,1980.T,"Dai-Dan Co., Ltd."
1982,1982.T,"Hibiya Engineering, Ltd."
2001,2001.T,Nippn Corporation
2002,2002.T,Nisshin Seifun Group Inc.
