code,ticker,name
1301,1301.T,
1332,1332.T,
1333,1333.T,
1375,1375.T,
1377,1377.T,
1379,1379.T,
1414,1414.T,
1417,1417.T,
1419,1419.T,
1429,1429.T,
1433,1433.T,
1515,1515.T,
1518,1518.T,
1605,1605.T,
1662,1662.T,
1663,1663.T,
0167,0167.T,
1719,1719.T,
1720,1720.T,
1721,1721.T,
1726,1726.T,
1762,1762.T,
1766,1766.T,
1773,1773.T,
1780,1780.T,
1786,1786.T,
1801,1801.T,
1802,1802.T,
1803,1803.T,
1808,1808.T,
1812,1812.T,
1813,1813.T,
1814,1814.T,
1815,1815.T,
1820,1820.T,
1821,1821.T,
1833,1833.T,
1835,1835.T,
1852,1852.T,
1860,1860.T,
1861,1861.T,
1870,1870.T,
1871,1871.T,
1873,1873.T,
1878,1878.T,
1879,1879.T,
1882,1882.T,
1884,1884.T,
1885,1885.T,
1887,1887.T,
1888,1888.T,
1890,1890.T,
1893,1893.T,
1898,1898.T,
1899,1899.T,
1911,1911.T,
1925,1925.T,
1926,1926.T,
1928,1928.T,
1929,1929.T,
1930,1930.T,
1934,1934.T,
1938,1938.T,
1939,1939.T,
1941,1941.T,
1942,1942.T,
1944,1944.T,
1945,1945.T,
1946,1946.T,
1949,1949.T,
1950,1950.T,
1951,1951.T,
1952,1952.T,
1959,1959.T,
1961,1961.T,
1963,1963.T,
1964,1964.T,
1968,1968.T,
1969,1969.T,
1975,1975.T,
1976,1976.T,
1979,1979.T,
1980,1980.T,
1982,1982.T,
2001,2001.T,
2002,2002.T,
2004,2004.T,
2053,2053.T,
2060,2060.T,
2108,2108.T,
2109,2109.T,
2117,2117.T,
2120,2120.T,
2121,2121.T,
2124,2124.T,
2127,2127.T,
2130,2130.T,
2146,2146.T,
2148,2148.T,
2150,2150.T,
2153,2153.T,
2154,2154.T,
2157,2157.T,
2163,2163.T,
2168,2168.T,
2170,2170.T,
2175,2175.T,
2181,2181.T,
2198,2198.T,
2201,2201.T,
2206,2206.T,
2207,2207.T,
2209,2209.T,
2211,2211.T,
2212,2212.T,
2217,2217.T,
2220,2220.T,
2222,2222.T,
2229,2229.T,
2264,2264.T,
2266,2266.T,
2267,2267.T,
2269,2269.T,
2270,2270.T,
2281,2281.T,
2282,2282.T,
2288,2288.T,
2292,2292.T,
2294,2294.T,
2296,2296.T,
2301,2301.T,
2307,2307.T,
2317,2317.T,
2325,2325.T,
2326,2326.T,
2327,2327.T,
2331,2331.T,
2335,2335.T,
2337,2337.T,
2353,2353.T,
2359,2359.T,
2371,2371.T,
2374,2374.T,
2378,2378.T,
2379,2379.T,
2384,2384.T,
2389,2389.T,
2395,2395.T,
2410,2410.T,
2413,2413.T,
2429,2429.T,
2432,2432.T,
2433,2433.T,
2440,2440.T,
2445,2445.T,
2461,2461.T,
2462,2462.T,
2471,2471.T,
2475,2475.T,
2489,2489.T,
2491,2491.T,
2492,2492.T,
2501,2501.T,
2502,2502.T,
2503,2503.T,
2531,2531.T,
2533,2533.T,
2540,2540.T,
0256,0256.T,
2579,2579.T,
2585,2585.T,
2587,2587.T,
2590,2590.T,
2593,2593.T,
25935,25935.T,
2594,2594.T,
2602,2602.T,
2607,2607.T,
2613,2613.T,
0262,0262.T,
2659,2659.T,
2664,2664.T,
2670,2670.T,
2674,2674.T,
2676,2676.T,
2678,2678.T,
2681,2681.T,
2685,2685.T,
0268,0268.T,
2692,2692.T,
2695,2695.T,
2726,2726.T,
2730,2730.T,
2733,2733.T,
2734,2734.T,
2737,2737.T,
2742,2742.T,
2749,2749.T,
2752,2752.T,
2753,2753.T,
2760,2760.T,
2767,2767.T,
2768,2768.T,
2784,2784.T,
2791,2791.T,
2792,2792.T,
2801,2801.T,
2802,2802.T,
2804,2804.T,
2809,2809.T,
2810,2810.T,
2811,2811.T,
2815,2815.T,
0285,0285.T,
2871,2871.T,
2874,2874.T,
2875,2875.T,
2882,2882.T,
2884,2884.T,
2897,2897.T,
2908,2908.T,
2910,2910.T,
2914,2914.T,
2915,2915.T,
2918,2918.T,
2922,2922.T,
2929,2929.T,
2930,2930.T,
2931,2931.T,
2933,2933.T,
2935,2935.T,
2975,2975.T,
2980,2980.T,
2982,2982.T,
3002,3002.T,
3003,3003.T,
3028,3028.T,
3031,3031.T,
3034,3034.T,
3036,3036.T,
3038,3038.T,
3040,3040.T,
3046,3046.T,
3048,3048.T,
3050,3050.T,
3064,3064.T,
3073,3073.T,
3076,3076.T,
3086,3086.T,
3087,3087.T,
3088,3088.T,
3091,3091.T,
3092,3092.T,
3093,3093.T,
3097,3097.T,
3099,3099.T,
3101,3101.T,
3103,3103.T,
3104,3104.T,
3105,3105.T,
3106,3106.T,
3107,3107.T,
3109,3109.T,
3110,3110.T,
3116,3116.T,
3132,3132.T,
3135,3135.T,
3139,3139.T,
3141,3141.T,
3148,3148.T,
3150,3150.T,
3151,3151.T,
3153,3153.T,
3154,3154.T,
3156,3156.T,
3167,3167.T,
3176,3176.T,
3179,3179.T,
3180,3180.T,
3182,3182.T,
3183,3183.T,
3186,3186.T,
3191,3191.T,
3193,3193.T,
3196,3196.T,
3197,3197.T,
3198,3198.T,
3199,3199.T,
3201,3201.T,
3221,3221.T,
3231,3231.T,
3232,3232.T,
3245,3245.T,
3252,3252.T,
3276,3276.T,
3284,3284.T,
3288,3288.T,
3289,3289.T,
3291,3291.T,
3302,3302.T,
3315,3315.T,
3319,3319.T,
3328,3328.T,
3333,3333.T,
3341,3341.T,
3349,3349.T,
3360,3360.T,
3371,3371.T,
3382,3382.T,
3387,3387.T,
3388,3388.T,
3391,3391.T,
3393,3393.T,
3395,3395.T,
3397,3397.T,
3401,3401.T,
3402,3402.T,
3405,3405.T,
3407,3407.T,
3415,3415.T,
3431,3431.T,
3433,3433.T,
3436,3436.T,
3443,3443.T,
3445,3445.T,
3446,3446.T,
3457,3457.T,
3465,3465.T,
3475,3475.T,
3480,3480.T,
3482,3482.T,
3484,3484.T,
3486,3486.T,
3496,3496.T,
3498,3498.T,
3501,3501.T,
3539,3539.T,
3543,3543.T,
3546,3546.T,
3548,3548.T,
3549,3549.T,
3561,3561.T,
3563,3563.T,
3569,3569.T,
3580,3580.T,
3591,3591.T,
3593,3593.T,
3608,3608.T,
3612,3612.T,
3626,3626.T,
3632,3632.T,
3635,3635.T,
3636,3636.T,
3649,3649.T,
3655,3655.T,
3656,3656.T,
3657,3657.T,
3659,3659.T,
3660,3660.T,
3661,3661.T,
3662,3662.T,
3663,3663.T,
3665,3665.T,
3668,3668.T,
3673,3673.T,
3675,3675.T,
3676,3676.T,
3678,3678.T,
3679,3679.T,
3681,3681.T,
3687,3687.T,
3688,3688.T,
0368,0368.T,
3694,3694.T,
3696,3696.T,
3697,3697.T,
3708,3708.T,
3741,3741.T,
3762,3762.T,
3763,3763.T,
3765,3765.T,
3769,3769.T,
3771,3771.T,
3774,3774.T,
3778,3778.T,
3788,3788.T,
3817,3817.T,
3834,3834.T,
3835,3835.T,
3836,3836.T,
3837,3837.T,
3843,3843.T,
3844,3844.T,
3853,3853.T,
3854,3854.T,
3861,3861.T,
3863,3863.T,
3864,3864.T,
3865,3865.T,
3877,3877.T,
3880,3880.T,
3901,3901.T,
3902,3902.T,
3903,3903.T,
3915,3915.T,
3916,3916.T,
3921,3921.T,
3922,3922.T,
3923,3923.T,
3924,3924.T,
3925,3925.T,
3926,3926.T,
3932,3932.T,
3937,3937.T,
3939,3939.T,
3941,3941.T,
3946,3946.T,
3950,3950.T,
3962,3962.T,
3963,3963.T,
3964,3964.T,
3968,3968.T,
3983,3983.T,
3984,3984.T,
3992,3992.T,
3993,3993.T,
3994,3994.T,
4004,4004.T,
